RUN_ID,Category,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
1512,70 Star,mel4g4qz,1,https://www.speedrun.com/sm64/run/mel4g4qz,2023-06-17T20:22:08Z,2801,2801,jn32931x,Suigi,Canada,N64,Yes
1513,70 Star,zx3x94ez,2,https://www.speedrun.com/sm64/run/zx3x94ez,2023-07-24T14:50:24Z,2806,2806,zxzk1q9x,ikori_o,Japan,N64,Yes
1514,70 Star,mk014j1z,3,https://www.speedrun.com/sm64/run/mk014j1z,2023-07-24T22:28:07Z,2810,2810,x353dr7j,Finnii602,Germany,VC,Yes
1515,70 Star,yj211d3m,4,https://www.speedrun.com/sm64/run/yj211d3m,2023-06-03T16:03:45Z,2814,2814,8wkzer38,Parsee02,Japan,N64,Yes
1516,70 Star,z1q2w59y,5,https://www.speedrun.com/sm64/run/z1q2w59y,2023-01-29T01:10:07Z,2816,2816,18v62qyx,Benji64,Austria,N64,Yes
1517,70 Star,m77jl50m,6,https://www.speedrun.com/sm64/run/m77jl50m,2021-11-11T07:37:38Z,2818,2818,kjprmwk8,Weegee,United States,N64,Yes
1518,70 Star,znkq498z,7,https://www.speedrun.com/sm64/run/znkq498z,2020-06-12T18:02:14Z,2819,2819,zx7gnyx7,Dwhatever,Germany,N64,Yes
1519,70 Star,y8k3jxwy,8,https://www.speedrun.com/sm64/run/y8k3jxwy,2023-09-08T02:41:37Z,2827,2827,jmolpwo8,Raisn,Germany,EMU,Yes
1520,70 Star,mr64opgm,9,https://www.speedrun.com/sm64/run/mr64opgm,2022-01-03T15:22:37Z,2830,2830,jo2mr9n8,marlene,,N64,No
1521,70 Star,m3q295gy,10,https://www.speedrun.com/sm64/run/m3q295gy,2023-08-08T07:09:45Z,2833,2833,7j40gpw8,KANNO,,N64,Yes
1522,70 Star,zn3pr37y,11,https://www.speedrun.com/sm64/run/zn3pr37y,2020-11-11T01:42:44Z,2838,2838,zx76v0j7,Taggo,Sweden,N64,Yes
1523,70 Star,znrw18ly,12,https://www.speedrun.com/sm64/run/znrw18ly,2019-05-19T12:28:58Z,2843,2843,48gev4rj,puncayshun,United States,N64,Yes
1524,70 Star,me7xg3qy,12,https://www.speedrun.com/sm64/run/me7xg3qy,2021-04-25T03:30:35Z,2843,2843,o86nzl0x,Xoofey,United States,N64,Yes
1525,70 Star,y2pn586z,12,https://www.speedrun.com/sm64/run/y2pn586z,2022-07-01T13:54:45Z,2843,2843,v814mkp8,cheese,Spain,N64,Yes
1526,70 Star,z5rvkdgy,15,https://www.speedrun.com/sm64/run/z5rvkdgy,2021-05-22T14:18:36Z,2846,2846,kjpqrr4x,Goldrush,Japan,N64,Yes
1527,70 Star,z1x2q7wm,16,https://www.speedrun.com/sm64/run/z1x2q7wm,2021-09-07T00:05:52Z,2847,2847,o862d3xz,Biinny,England,N64,Yes
1528,70 Star,znv5po3m,17,https://www.speedrun.com/sm64/run/znv5po3m,2023-08-10T18:06:46Z,2849,2849,xyrqdwmj,Zhilkan,Spain,EMU,Yes
1529,70 Star,z1qkxogy,18,https://www.speedrun.com/sm64/run/z1qkxogy,2023-02-22T15:41:33Z,2850,2850,j51q9668,RianDiCielo,Panama,VC,Yes
1530,70 Star,yw6or63m,19,https://www.speedrun.com/sm64/run/yw6or63m,2022-11-04T20:34:34Z,2852,2852,1xy9p1vj,taihou,Japan,EMU,Yes
1531,70 Star,y8dw71wz,20,https://www.speedrun.com/sm64/run/y8dw71wz,2021-06-18T05:04:40Z,2855,2855,48gqo07j,darkdog47,United States,N64,Yes
1532,70 Star,znjdge7m,20,https://www.speedrun.com/sm64/run/znjdge7m,2023-04-21T19:06:06Z,2855,2855,j2ylqn68,Karin,Japan,N64,Yes
1533,70 Star,zpw6d88y,22,https://www.speedrun.com/sm64/run/zpw6d88y,2023-07-22T00:40:35Z,2856,2856,x35rvpkj,Scythamer,United States,N64,Yes
1534,70 Star,zgq48vdy,23,https://www.speedrun.com/sm64/run/zgq48vdy,2022-11-23T22:56:21Z,2857,2857,dx35192j,Dezanig,Brazil,N64,Yes
1535,70 Star,yddx4q0y,24,https://www.speedrun.com/sm64/run/yddx4q0y,2022-07-20T22:52:15Z,2858,2858,kjp9p28q,Sigotu,Poland,EMU,Yes
1536,70 Star,yvv84j6y,25,https://www.speedrun.com/sm64/run/yvv84j6y,2023-11-27T21:31:14Z,2859,2859,v813p3lx,Armada,Sweden,N64,Yes
1537,70 Star,yd2dj4jm,26,https://www.speedrun.com/sm64/run/yd2dj4jm,2023-11-18T16:28:46Z,2862,2862,xyrdnrnj,Chemus,Brazil,EMU,Yes
1538,70 Star,mkd23l3y,27,https://www.speedrun.com/sm64/run/mkd23l3y,2022-08-08T20:53:43Z,2863,2863,zx77v7rx,simply,United States,N64,Yes
1539,70 Star,ywrx750m,27,https://www.speedrun.com/sm64/run/ywrx750m,2023-07-28T21:33:58Z,2863,2863,j0n10kw8,jaquarium,United States,N64,Yes
1540,70 Star,y4qvrddm,29,https://www.speedrun.com/sm64/run/y4qvrddm,2022-07-15T06:03:02Z,2866,2866,pj0o24rj,Aleph64,Germany,VC,Yes
1541,70 Star,yvpex58y,29,https://www.speedrun.com/sm64/run/yvpex58y,2023-08-17T22:48:17Z,2866,2866,xk4zke6j,ElDeve,Argentina,EMU,No
1542,70 Star,m7wr5j4z,31,https://www.speedrun.com/sm64/run/m7wr5j4z,2022-03-29T02:34:19Z,2867,2867,y8d2v2mj,ChipGroove,United States,N64,Yes
1543,70 Star,y60pkx6y,32,https://www.speedrun.com/sm64/run/y60pkx6y,2022-04-20T03:36:49Z,2868,2868,1xyd46wx,Kally,,VC,Yes
1544,70 Star,yvp55k8y,33,https://www.speedrun.com/sm64/run/yvp55k8y,2023-08-12T22:09:30Z,2873,2873,18q3zwqj,Dekudude,England,N64,Yes
1545,70 Star,y9klgokz,33,https://www.speedrun.com/sm64/run/y9klgokz,2023-11-12T19:11:53Z,2873,2873,o866w58z,Xiah,Japan,N64,Yes
1546,70 Star,ydr2q0xz,35,https://www.speedrun.com/sm64/run/ydr2q0xz,2021-06-12T23:50:10Z,2875,2875,qxk45r6j,hokorobi,Japan,N64,Yes
1547,70 Star,mrl81wdm,36,https://www.speedrun.com/sm64/run/mrl81wdm,2023-05-08T15:54:56Z,2877,2877,kj92gmv8,Dowsky,United States,N64,Yes
1548,70 Star,yl64xnxy,36,https://www.speedrun.com/sm64/run/yl64xnxy,2023-05-11T03:49:50Z,2877,2877,8d4ywn58,vitroncio,Brazil,N64,Yes
1549,70 Star,z0x7288z,36,https://www.speedrun.com/sm64/run/z0x7288z,2023-11-05T05:16:35Z,2877,2877,8v5253yj,taciturn,United States,EMU,Yes
1550,70 Star,z0n9ox4m,39,https://www.speedrun.com/sm64/run/z0n9ox4m,2023-01-02T06:09:56Z,2878,2878,5j52dgqj,lunarjump,United States,N64,Yes
1551,70 Star,y42j3p3m,40,https://www.speedrun.com/sm64/run/y42j3p3m,2021-03-14T14:29:43Z,2892,2892,qj2w3rpj,BlueBob,Canada,N64,Yes
1552,70 Star,8y8nlddy,41,https://www.speedrun.com/sm64/run/8y8nlddy,2017-01-03T18:51:38Z,2894,2894,kj9lkowj,batora,Japan,N64,Yes
1553,70 Star,yd6wlnvz,41,https://www.speedrun.com/sm64/run/yd6wlnvz,2019-09-21T15:01:29Z,2894,2894,98rp5e6j,Paracusia,Australia,N64,Yes
1554,70 Star,zx8g4kqm,43,https://www.speedrun.com/sm64/run/zx8g4kqm,2022-08-23T14:31:44Z,2896,2896,kj9egwv8,Afrodafro,Norway,N64,Yes
1555,70 Star,zqwn21rz,44,https://www.speedrun.com/sm64/run/zqwn21rz,2020-08-14T23:51:22Z,2897,2897,kjpqy9yx,Gainai,Germany,N64,Yes
1556,70 Star,me7glq8y,45,https://www.speedrun.com/sm64/run/me7glq8y,2021-06-20T23:57:31Z,2899,2899,y8dz54gj,maosfx,United States,VC,Yes
1557,70 Star,me8296qm,46,https://www.speedrun.com/sm64/run/me8296qm,2019-02-20T17:15:18Z,2900,2900,kj9ylvx4,V1RO,Canada,N64,Yes
1558,70 Star,mk4pgr1y,47,https://www.speedrun.com/sm64/run/mk4pgr1y,2018-01-15T20:38:02Z,2902,2902,,,,N64,Yes
1559,70 Star,ydg55pxy,48,https://www.speedrun.com/sm64/run/ydg55pxy,2022-12-25T23:43:54Z,2903,2903,68wwn48g,Mitagi,Japan,N64,Yes
1560,70 Star,y4kxqp2m,48,https://www.speedrun.com/sm64/run/y4kxqp2m,2023-11-25T09:54:19Z,2903,2903,v8lgdovj,Drac,Brazil,N64,Yes
1561,70 Star,zn4g8v3m,50,https://www.speedrun.com/sm64/run/zn4g8v3m,2019-02-17T22:11:43Z,2904,2904,kj9yz0wx,Liam,United States,N64,Yes
1562,70 Star,zqwq7j9z,50,https://www.speedrun.com/sm64/run/zqwq7j9z,2020-07-18T10:34:14Z,2904,2904,1xyl49zj,Nebula,Australia,EMU,Yes
1563,70 Star,zqer725z,52,https://www.speedrun.com/sm64/run/zqer725z,2022-12-20T17:28:47Z,2906,2906,8wlk4n4j,Kaimatix,England,N64,No
1564,70 Star,y6q0866z,52,https://www.speedrun.com/sm64/run/y6q0866z,2023-11-20T00:31:54Z,2906,2906,qjn77418,sorichi,Japan,N64,No
