run_id,Category,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
759,16 Star,yol5kxjy,1,https://www.speedrun.com/sm64/run/yol5kxjy,2023-03-23T06:20:48Z,875.5,875.5,jn32931x,Suigi,Canada,N64,Yes
760,16 Star,zppddvxz,2,https://www.speedrun.com/sm64/run/zppddvxz,2023-11-25T16:02:09Z,881.21,881.21,1xypyovx,Slipperynip,United States,N64,Yes
761,16 Star,y60jnn0y,3,https://www.speedrun.com/sm64/run/y60jnn0y,2022-07-06T19:10:40Z,892,892,x353dr7j,Finnii602,Germany,VC,Yes
762,16 Star,yjxj5w3z,4,https://www.speedrun.com/sm64/run/yjxj5w3z,2021-12-01T08:19:33Z,893.45,893.45,kjprmwk8,Weegee,United States,N64,Yes
763,16 Star,ywj1gg9z,5,https://www.speedrun.com/sm64/run/ywj1gg9z,2021-12-09T16:44:16Z,895.81,895.81,kj92gmv8,Dowsky,United States,N64,Yes
764,16 Star,z1qollry,6,https://www.speedrun.com/sm64/run/z1qollry,2023-01-03T04:27:48Z,895.9,895.9,48g979rx,GTM,Antarctica,N64,Yes
765,16 Star,m7w9p0ez,7,https://www.speedrun.com/sm64/run/m7w9p0ez,2021-12-06T01:20:55Z,896.22,896.22,7j40gpw8,KANNO,,N64,Yes
766,16 Star,mkv9n63y,8,https://www.speedrun.com/sm64/run/mkv9n63y,2022-12-16T23:55:34Z,896.33,896.33,8vkrw22j,Tag609,United States,N64,Yes
767,16 Star,y86rxp5m,9,https://www.speedrun.com/sm64/run/y86rxp5m,2023-05-29T17:17:59Z,897.46,897.46,e8evzg7x,gamiru,Japan,N64,Yes
768,16 Star,yv8qgoom,10,https://www.speedrun.com/sm64/run/yv8qgoom,2023-01-23T23:25:36Z,898,898,jmolpwo8,Raisn,Germany,EMU,Yes
769,16 Star,znv35k3m,11,https://www.speedrun.com/sm64/run/znv35k3m,2023-05-31T13:30:57Z,898.1,898.1,jpmk03yj,Zapy,Japan,N64,Yes
770,16 Star,znko377z,12,https://www.speedrun.com/sm64/run/znko377z,2020-05-10T08:36:48Z,899.33,899.33,0jml0zy8,akki,Japan,N64,Yes
771,16 Star,y9601gey,13,https://www.speedrun.com/sm64/run/y9601gey,2022-12-26T08:40:38Z,900.9,900.9,j2www16j,treybordo,United States,N64,Yes
772,16 Star,y867qjnm,14,https://www.speedrun.com/sm64/run/y867qjnm,2023-08-25T20:08:54Z,906.1,906.1,7j4mzd5j,Thomkar,Norway,N64,Yes
773,16 Star,zpw506ry,15,https://www.speedrun.com/sm64/run/zpw506ry,2023-08-08T21:52:14Z,908.63,908.63,j4rpn7d8,Nils,Sweden,N64,Yes
774,16 Star,m36394wm,16,https://www.speedrun.com/sm64/run/m36394wm,2022-01-18T20:20:29Z,909,909,8wlk4n4j,Kaimatix,England,EMU,Yes
775,16 Star,y98l6wkz,16,https://www.speedrun.com/sm64/run/y98l6wkz,2023-06-22T16:13:52Z,909,909,o86vrqpj,Joshua_iz_drunk,Ireland,EMU,Yes
776,16 Star,zgqk9l0y,18,https://www.speedrun.com/sm64/run/zgqk9l0y,2022-08-11T13:53:17Z,910,910,xyrqdwmj,Zhilkan,Spain,EMU,Yes
777,16 Star,z5e31vnz,19,https://www.speedrun.com/sm64/run/z5e31vnz,2022-12-31T14:24:09Z,910.04,910.04,8wkzer38,Parsee02,Japan,N64,Yes
778,16 Star,yojl4j5m,20,https://www.speedrun.com/sm64/run/yojl4j5m,2019-10-28T08:42:20Z,912.67,912.67,5j52dgqj,lunarjump,United States,N64,Yes
779,16 Star,z1p04l9z,21,https://www.speedrun.com/sm64/run/z1p04l9z,2022-07-17T17:59:23Z,913.66,913.66,v814mkp8,cheese,Spain,N64,Yes
780,16 Star,m7x80r4y,22,https://www.speedrun.com/sm64/run/m7x80r4y,2022-08-21T17:24:28Z,913.83,913.83,18v62qyx,Benji64,Austria,N64,Yes
781,16 Star,yvp9176y,23,https://www.speedrun.com/sm64/run/yvp9176y,2023-05-28T18:09:06Z,914.03,914.03,zxzn3w9x,spener1122,Canada,N64,Yes
782,16 Star,zx6jr85z,24,https://www.speedrun.com/sm64/run/zx6jr85z,2021-03-17T16:49:20Z,916,916,1xy9p1vj,taihou,Japan,EMU,Yes
783,16 Star,me10ww3y,25,https://www.speedrun.com/sm64/run/me10ww3y,2022-09-28T06:07:24Z,916.78,916.78,8qzmp678,Jaybomb,United States,N64,Yes
784,16 Star,znj8v1vm,26,https://www.speedrun.com/sm64/run/znj8v1vm,2022-12-06T07:15:01Z,917.88,917.88,81611olx,phyxius6,United States,N64,Yes
785,16 Star,y81vwdnz,27,https://www.speedrun.com/sm64/run/y81vwdnz,2019-08-09T04:56:58Z,918,918,48gqo07j,darkdog47,United States,VC,Yes
