run_id,Category,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
80,0 Star,yjp9dr7y,21,https://www.speedrun.com/sm64/run/yjp9dr7y,2022-06-28T04:54:25Z,462,462,68wzrnv8,aussieadam,United States,EMU,Yes
82,0 Star,yorge9dy,22,https://www.speedrun.com/sm64/run/yorge9dy,2022-03-20T11:33:15Z,463,463,xkm3lk7j,Nonag,Germany,EMU,Yes
89,0 Star,7z0pnw4y,23,https://www.speedrun.com/sm64/run/7z0pnw4y,2016-02-20T15:12:15Z,470,470,qjn3egwx,Babass_21,France,EMU,Yes
90,0 Star,mr7ox67z,24,https://www.speedrun.com/sm64/run/mr7ox67z,2022-06-10T13:15:07Z,471,471,8rpv21dj,ZeusSM64,New Zealand,EMU,Yes
102,0 Star,y60xgrqy,25,https://www.speedrun.com/sm64/run/y60xgrqy,2022-06-05T11:52:38Z,478,478,86vvqv0j,Dillarune,Indonesia,EMU,Yes
106,0 Star,z1pnxj9z,26,https://www.speedrun.com/sm64/run/z1pnxj9z,2022-06-27T12:36:08Z,481,481,8end5g78,SonicGordon6,United States,EMU,Yes
107,0 Star,ywrxol3m,27,https://www.speedrun.com/sm64/run/ywrxol3m,2023-07-28T18:06:37Z,482,482,8lpl934j,PegiTheLoca,Germany,EMU,Yes
114,0 Star,meld000z,28,https://www.speedrun.com/sm64/run/meld000z,2023-08-17T10:16:49Z,490,490,e8ewrz78,ariapath,Australia,EMU,Yes
117,0 Star,z57p2onm,29,https://www.speedrun.com/sm64/run/z57p2onm,2019-11-17T22:48:45Z,492,492,7j47lplj,dumpdome64,United States,EMU,Yes
118,0 Star,m7021qey,30,https://www.speedrun.com/sm64/run/m7021qey,2023-07-05T06:32:29Z,492,492,1xyqkgz8,Sanklo,Argentina,EMU,Yes
119,0 Star,y6rdr5py,31,https://www.speedrun.com/sm64/run/y6rdr5py,2020-10-25T19:31:46Z,493,493,jmo4ewn8,Mathematix,United States,EMU,Yes
122,0 Star,y88nlw1y,32,https://www.speedrun.com/sm64/run/y88nlw1y,2022-07-12T23:47:45Z,495,495,5j5gwr68,Speedrun,United States,EMU,Yes
123,0 Star,zgq230vy,33,https://www.speedrun.com/sm64/run/zgq230vy,2022-09-14T10:00:43Z,495,495,8g547vyj,RealPrimeSub,United States,EMU,Yes
125,0 Star,y863xpnm,34,https://www.speedrun.com/sm64/run/y863xpnm,2023-04-26T16:12:34Z,495,495,86n94m0x,Joanbros,France,EMU,Yes
131,0 Star,yvppe38y,35,https://www.speedrun.com/sm64/run/yvppe38y,2023-07-14T06:08:26Z,498,498,8v5nwrnj,Michaelguy,United States,EMU,Yes
134,0 Star,zpw2n3gy,36,https://www.speedrun.com/sm64/run/zpw2n3gy,2023-06-19T16:58:18Z,500,500,18q5www8,BigfootTouchedMe,Australia,EMU,Yes
136,0 Star,yvp92oey,37,https://www.speedrun.com/sm64/run/yvp92oey,2023-05-28T09:51:22Z,502,502,pj0rd9mj,reGemini,Australia,EMU,Yes
139,0 Star,zpwk38xy,38,https://www.speedrun.com/sm64/run/zpwk38xy,2023-07-30T16:57:57Z,503,503,x7wzv1v8,ADRki11er,Brazil,EMU,Yes
141,0 Star,zgqn38ey,39,https://www.speedrun.com/sm64/run/zgqn38ey,2022-08-01T04:20:58Z,504,504,v810d5rx,SubmarineCpt,United States,EMU,Yes
143,0 Star,mk0704xz,40,https://www.speedrun.com/sm64/run/mk0704xz,2023-06-05T04:49:53Z,508,508,x72zygq8,Avasion,United States,EMU,Yes
