RUN_ID,Category,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
887,1 Star,y2vg577z,387,https://www.speedrun.com/sm64/run/y2vg577z,2021-02-27T20:37:57Z,536,536,8e9e2o2j,JamMeister21,England,EMU,Yes
888,1 Star,z5d9xlgm,387,https://www.speedrun.com/sm64/run/z5d9xlgm,2021-11-26T18:46:24Z,536,536,8grge67x,isu_,Japan,N64,Yes
889,1 Star,zgedpk0y,387,https://www.speedrun.com/sm64/run/zgedpk0y,2023-06-21T22:51:14Z,536,536,1xyl2yjr,RBman,Canada,N64,Yes
890,1 Star,z5pro3gm,387,https://www.speedrun.com/sm64/run/z5pro3gm,2023-06-08T12:13:55Z,536,536,81qrwmpj,Aslan61,Germany,N64,Yes
891,1 Star,z0jq188y,387,https://www.speedrun.com/sm64/run/z0jq188y,2023-07-25T07:25:38Z,536,536,8w1de74x,aflyingcougar,United States,N64,Yes
892,1 Star,z0x36q4z,387,https://www.speedrun.com/sm64/run/z0x36q4z,2023-09-19T19:34:05Z,536,536,jprg1g58,eave,Germany,N64,Yes
893,1 Star,znr8gg8y,393,https://www.speedrun.com/sm64/run/znr8gg8y,2019-06-09T03:55:07Z,537,537,7j4r55d8,Four,United States,EMU,Yes
894,1 Star,m33ol66m,393,https://www.speedrun.com/sm64/run/m33ol66m,2022-04-17T12:11:38Z,537,537,86nz1n0x,3DMan06,Germany,EMU,Yes
895,1 Star,yvrp058z,393,https://www.speedrun.com/sm64/run/yvrp058z,2022-06-14T20:08:59Z,537,537,xk4g0m9j,Dezod,United States,N64,Yes
896,1 Star,ydgo6vwy,393,https://www.speedrun.com/sm64/run/ydgo6vwy,2023-03-22T23:46:11Z,537,537,jn3kg62x,GregoTheGreatest,United States,N64,Yes
897,1 Star,mr282x4y,393,https://www.speedrun.com/sm64/run/mr282x4y,2023-09-22T00:43:14Z,537,537,v811oml8,J3RBA1TED,United States,N64,Yes
898,1 Star,1zxx80qz,398,https://www.speedrun.com/sm64/run/1zxx80qz,2016-09-23T13:45:33Z,538,538,qjopronx,Tomatobird8,Finland,EMU,Yes
899,1 Star,z13j86jm,398,https://www.speedrun.com/sm64/run/z13j86jm,2017-06-06T08:09:44Z,538,538,1xy51wv8,Kosmic,United States,VC,Yes
900,1 Star,m3oej1dm,398,https://www.speedrun.com/sm64/run/m3oej1dm,2019-05-10T07:09:23Z,538,538,zx7zl0q8,mootier,United States,EMU,Yes
901,1 Star,yop2p5dm,398,https://www.speedrun.com/sm64/run/yop2p5dm,2022-04-17T01:09:55Z,538,538,jo3vlelj,Edwulf,United States,N64,Yes
902,1 Star,y86v5xdm,398,https://www.speedrun.com/sm64/run/y86v5xdm,2023-06-07T22:29:07Z,538,538,8q316z7j,dista,United States,N64,Yes
903,1 Star,z5k595dz,398,https://www.speedrun.com/sm64/run/z5k595dz,2023-09-11T11:04:17Z,538,538,j2wrvyoj,Tanishy,Japan,N64,Yes
904,1 Star,9mejn99y,404,https://www.speedrun.com/sm64/run/9mejn99y,2016-01-26T06:09:02Z,539,539,o86wy0xz,GlitchPhD,United States,VC,Yes
905,1 Star,y974gx2m,404,https://www.speedrun.com/sm64/run/y974gx2m,2018-05-19T20:52:11Z,539,539,7j47vrmj,mat1jaczyyy,Croatia,EMU,Yes
